unique_gene_symbol,hy_LRT_padj,fore_LRT_padj,med_LRT_padj,adr_LRT_padj,liv_LRT_padj,kid_LRT_padj,cluster_f,cluster_h,cluster_m,gene_id,source,orf_len,exons,rna_len,novel,min_sig,domains,br_expr,nonbr_expr,transcript_id,majiq_directed
FAM120C,0.014195811720664654,3.0983376550943344e-5,0.18856553070941204,0.5528729347650003,0.25470389570664553,0.40248794601436183,Cold_low_EM,insig,insig,ENSSTOG00000000293,reference,993,17,2982,0,3.0983376550943344e-5,0,1,1,ENSSTOT00000000294,0
COX7A2L_like,NA,2.3560852602308373e-4,NA,0.010669242121424328,0.0019309652702088512,0.8943740417033503,Unassigned,filtered,filtered,ENSSTOG00000012265,human_blastn,183,2,2530,0,2.3560852602308373e-4,1,1,1,TU62358,1
ZNF112,4.872140740617495e-15,1.6224869959368504e-15,6.263531930166771e-18,6.095600493640504e-8,NA,4.749109861429872e-4,Cold_low_EM,Cold_low_EM,Cold_low_EM,ENSSTOG00000013458,reference,813,3,2566,0,6.263531930166771e-18,0,1,1,ENSSTOT00000036382,0
ZBED8,1.1302536056449076e-10,1.0861720554999893e-9,NA,0.1718192991164797,NA,0.26416285351936836,Cold_low_EL,Cold_low_EL,filtered,ENSSTOG00000015054,reference,606,2,1821,0,1.1302536056449076e-10,0,1,1,ENSSTOT00000015053,0
MIR138-1,2.8944246034179524e-70,3.5317433740647163e-9,8.078861054971481e-18,NA,NA,NA,Cold_low_EM,Cold_low_EM,Cold_low_EM,ENSSTOG00000021182,human_blastn,143,1,3836,0,2.8944246034179524e-70,0,1,0,TU31641,1
ENSSTOG00000021438,NA,1.6025936563936454e-6,NA,NA,NA,NA,Cold_low_EM,filtered,filtered,ENSSTOG00000021438,reference,0,1,93,0,1.6025936563936454e-6,0,1,0,ENSSTOT00000023274,0
RPL10A,0.003946750002917546,5.420008592158919e-5,0.05051472698678628,0.06378204773264656,0.03494338074295494,0.9189357496661645,Cold_high_EM,insig,insig,ENSSTOG00000027501,reference,190,4,573,0,5.420008592158919e-5,0,1,1,ENSSTOT00000022615,0
ENSSTOG00000029362,0.011178475206994788,2.2672886674504758e-15,4.671022037260153e-9,NA,NA,NA,Cold_low_EL,insig,Cold_low_EL,ENSSTOG00000029362,reference,135,2,3869,0,2.2672886674504758e-15,0,1,0,ENSSTOT00000032711,0
ENSSTOG00000029624,0.03653874413466183,5.908352528608839e-4,3.732230495490607e-5,0.2211382158579334,0.6919822898997355,0.14267548580744216,Cold_low_EL,insig,Cold_low_EM,ENSSTOG00000029624,reference,57,2,933,0,3.732230495490607e-5,0,1,1,ENSSTOT00000040900,0
ENSSTOG00000029690,0.14293990580529026,3.0745966635570366e-5,NA,0.05529371009312468,NA,NA,Cold_low_EM,insig,filtered,ENSSTOG00000029690,reference,135,1,8290,0,3.0745966635570366e-5,0,1,1,TU8623,1
PANTR1_containing,5.7332828990790703e-8,3.6509830810284304e-5,4.244161303995887e-18,NA,NA,0.0017835666470445426,Cold_low_EM,Winter_low,Winter_low,ENSSTOG00000030227,human_blastn,112,4,1959,0,4.244161303995887e-18,0,1,1,ENSSTOT00000040075,0
LINC00672,0.0026509001708576387,2.3610007151785297e-4,0.2000957551110827,NA,NA,NA,IBA_low,insig,insig,ENSSTOG00000030677,reference,152,2,1614,0,2.3610007151785297e-4,0,1,0,ENSSTOT00000034859,0
ENSSTOG00000031411,8.566443348357797e-12,2.5315729609796776e-4,1.4269813507053689e-18,7.281374921501615e-10,1.21843648348985e-9,0.017507914174724658,Unassigned,Cold_low_EH,Cold_low_EH,ENSSTOG00000031411,reference,18,2,513,0,1.4269813507053689e-18,0,1,1,ENSSTOT00000031705,0
ENSSTOG00000032137,4.8278024121206e-5,1.5278944437299259e-6,NA,NA,NA,4.4844045467624366e-13,Winter_high,Winter_high,filtered,ENSSTOG00000032137,reference,55,2,763,0,1.5278944437299259e-6,0,1,1,TU41446,1
ENSSTOG00000032437,3.7446165981537343e-4,1.353288849544865e-5,0.0013722898470463008,1.5935621467523666e-6,NA,NA,Cold_low_EL,Winter_low,insig,ENSSTOG00000032437,reference,103,2,2147,0,1.353288849544865e-5,0,1,1,ENSSTOT00000033593,0
COX6B1_ENSSTOG00000032450,0.005463819981681243,5.003185890986359e-4,0.6986502671245344,0.6381581410944464,0.9179255275524753,0.30655631336600314,Unassigned,insig,insig,ENSSTOG00000032450,human_blastn,72,2,219,0,5.003185890986359e-4,0,1,1,ENSSTOT00000039273,0
LINC01578_containing,6.383706726591483e-6,4.6122852801131473e-4,0.044652412994419674,9.821180707003338e-7,2.6037717197023633e-8,0.044975806122849245,Cold_high_EM,Cold_high_EL,insig,ENSSTOG00000032815,human_blastn,73,4,2068,0,6.383706726591483e-6,0,1,1,ENSSTOT00000042618,0
ENSSTOG00000034702,8.816685409118052e-79,8.329740075521627e-54,1.7608173638860537e-84,NA,NA,NA,Cold_low_EM,Cold_low_EM,Cold_low_EM,ENSSTOG00000034702,reference,188,2,2555,0,1.7608173638860537e-84,0,1,0,ENSSTOT00000032206,0
G10765,8.97082691007594e-7,1.4869741019310896e-4,2.241458102152057e-4,1.0390459142562117e-7,NA,1.028991011486109e-5,IBA_low,IBA_low,IBA_low,G10765,reference,112,1,3968,1,8.97082691007594e-7,0,1,1,TU18337,0
G10810,0.03892671376878165,6.838357058757587e-4,0.017035366417812014,0.37912471794225655,0.5420686179869144,0.06976704001658567,Unassigned,insig,insig,G10810,reference,278,3,15644,1,6.838357058757587e-4,1,1,1,TU18494,0
G10915,1.0171997619830895e-21,1.2923899382614454e-7,NA,NA,NA,NA,Cold_low_EM,Cold_low_EM,filtered,G10915,reference,64,1,6520,1,1.0171997619830895e-21,0,1,0,TU18721,0
MIR4453HG_containing,7.611109306804543e-4,4.61683784835418e-5,9.312479369939219e-11,0.24054536725373216,NA,0.40732176698517897,Unassigned,Cold_low_EM,Cold_low_EM,G11250,human_blastn,69,1,3712,1,9.312479369939219e-11,0,1,1,TU19241,0
G11561,NA,5.261069157783333e-6,NA,NA,NA,NA,Cold_high_EH,filtered,filtered,G11561,reference,43,1,562,1,5.261069157783333e-6,0,1,0,TU19771,0
G12941,0.08840664558379326,4.348422852246242e-4,0.2963504942972261,2.1264944446202754e-4,4.167625577736982e-6,0.008121891697671132,IBA_low,insig,insig,G12941,reference,163,1,3968,1,4.348422852246242e-4,0,1,1,TU22303,0
G13022,NA,1.1433874507368803e-8,3.7430227018761244e-7,NA,5.995894496062082e-20,NA,Cold_low_EH,filtered,Winter_low,G13022,reference,317,1,11079,1,1.1433874507368803e-8,0,1,1,TU22469,0
G13329,1.0469644618707088e-12,2.417324885562429e-6,1.0920848614903601e-12,NA,NA,NA,Winter_low,Winter_low,Winter_low,G13329,reference,130,1,6614,1,1.0469644618707088e-12,0,1,0,TU22998,0
MIR138-2_containing,1.0171997619830895e-21,4.386016384161051e-13,2.8241072868233866e-40,NA,NA,NA,Cold_low_EM,Cold_low_EH,Cold_low_EH,G13577,human_blastn,201,1,4304,1,2.8241072868233866e-40,0,1,0,TU23430,0
G1404,5.118861559123033e-12,2.56509352436294e-13,2.9848513943764524e-6,NA,NA,NA,Cold_high_EH,Cold_high_EH,Cold_high_EH,G1404,reference,80,1,3915,1,2.56509352436294e-13,0,1,0,TU2391,0
G1437,6.683464563754143e-5,2.6640718593645625e-4,0.006788734795367816,0.2503380391746944,1.797837386515432e-4,0.4626177307297614,Unassigned,Winter_low,insig,G1437,reference,76,1,3899,1,6.683464563754143e-5,0,1,1,TU2472,0
G14485,5.446595426229612e-13,1.5965725819365474e-6,NA,3.547018310669716e-10,NA,NA,Cold_low_EM,IBA_high,filtered,G14485,reference,31,1,396,1,5.446595426229612e-13,0,1,1,TU24893,0
G14901,1.576591465436061e-4,1.860231932151674e-8,1.6559418715833852e-11,8.10005741200672e-6,NA,NA,Cold_low_EL,Cold_low_EL,Cold_low_EL,G14901,reference,114,1,4028,1,1.6559418715833852e-11,0,1,1,TU25506,0
G14950,2.239903463773816e-84,4.395841176664534e-23,2.2870547502948636e-65,2.1611473558159962e-17,9.512113448184093e-11,9.769559717696313e-5,Cold_low_EM,Cold_low_EM,Cold_low_EM,G14950,reference,57,1,5691,1,2.239903463773816e-84,0,1,1,TU25593,0
G15124,5.846155192072226e-8,1.7722159079010456e-4,8.141277231494834e-4,0.015835506745037576,0.6409717606453119,0.2636007221738958,Cold_high_EM,Cold_high_EH,Cold_high_EM,G15124,reference,119,5,1449,1,5.846155192072226e-8,1,1,1,TU25912,0
