pathway,GO
POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION,GO:0050434
CARDIAC_CHAMBER_DEVELOPMENT,GO:0003205
DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY,GO:0045005
CIRCADIAN_RHYTHM,GO:0007623
PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING,GO:0036150
SPINAL_CORD_DEVELOPMENT,GO:0021510
PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,GO:0048008
CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS,GO:0071402
POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,GO:0030858
POSITIVE_REGULATION_OF_KINASE_ACTIVITY,GO:0033674
POTASSIUM_ION_TRANSPORT,GO:0006813
REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY,GO:0050856
NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,GO:0050680
REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION,GO:1903214
APICAL_PROTEIN_LOCALIZATION,GO:0045176
REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY,GO:0090175
FOREBRAIN_NEURON_DEVELOPMENT,GO:0021884
POSITIVE_REGULATION_OF_PROTEIN_MATURATION,GO:1903319
NEUROMUSCULAR_JUNCTION_DEVELOPMENT,GO:0007528
MITOTIC_CYTOKINESIS,GO:0000281
NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,GO:1903573
SMAD_PROTEIN_SIGNAL_TRANSDUCTION,GO:0060395
CYTOPLASMIC_TRANSLATION,GO:0002181
MEIOTIC_CHROMOSOME_SEGREGATION,GO:0045132
POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT,GO:0051928
REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,GO:2000779
RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS,GO:0006278
REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY,GO:0050855
DENDRITE_DEVELOPMENT,GO:0016358
REGULATION_OF_RESPIRATORY_BURST,GO:0060263
G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION,GO:0002031
MEMORY,GO:0007613
NEURON_DEVELOPMENT,GO:0048666
REGULATION_OF_GOLGI_ORGANIZATION,GO:1903358
ENDOTHELIAL_CELL_DEVELOPMENT,GO:0001885
POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION,GO:0010831
REGULATION_OF_CELL_ACTIVATION,GO:0050865
MULTICELLULAR_ORGANISM_AGING,GO:0010259
ATP_DEPENDENT_CHROMATIN_REMODELING,GO:0043044
ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,GO:0048646
ION_TRANSPORT,GO:0006811
LIPID_MODIFICATION,GO:0030258
NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT,GO:0090185
REGULATION_OF_HEPATOCYTE_PROLIFERATION,GO:2000345
ACYLGLYCEROL_HOMEOSTASIS,GO:0055090
NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,GO:0031333
HEMOGLOBIN_METABOLIC_PROCESS,GO:0020027
SINGLE_FERTILIZATION,GO:0007338
CHROMOSOME_ORGANIZATION,GO:0051276
NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,GO:0043407
SYNAPTIC_VESICLE_LOCALIZATION,GO:0097479
PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,GO:0018958
REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,GO:0050854
ESTABLISHMENT_OF_SPINDLE_ORIENTATION,GO:0051294
METANEPHRIC_NEPHRON_MORPHOGENESIS,GO:0072273
RESPONSE_TO_UV_C,GO:0010225
CARBOHYDRATE_CATABOLIC_PROCESS,GO:0016052
DENTATE_GYRUS_DEVELOPMENT,GO:0021542
ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT,GO:0010248
LABYRINTHINE_LAYER_DEVELOPMENT,GO:0060711
N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION,GO:0006474
CERAMIDE_CATABOLIC_PROCESS,GO:0046514
EXCRETION,GO:0007588
DIGESTION,GO:0007586
POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,GO:0051968
POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION,GO:0045840
HINDBRAIN_DEVELOPMENT,GO:0030902
OLIGOSACCHARIDE_METABOLIC_PROCESS,GO:0009311
NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT,GO:0061000
CHROMOSOME_SEGREGATION,GO:0007059
NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY,GO:1904030
ETHER_METABOLIC_PROCESS,GO:0018904
HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,GO:0002244
CYTOKINE_METABOLIC_PROCESS,GO:0042107
NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE,GO:0070373
STEROID_BIOSYNTHETIC_PROCESS,GO:0006694
SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT,GO:0043252
REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY,GO:0061097
DNA_TEMPLATED_TRANSCRIPTION_ELONGATION,GO:0006354
N_GLYCAN_PROCESSING,GO:0006491
ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT,GO:1903513
NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS,GO:2000242
